,Fecha actualización,Energia_consumida
0,01/01/2022,535144.786
1,02/01/2022,578855.186
2,03/01/2022,691970.774
3,04/01/2022,718047.874
4,05/01/2022,715070.234
5,06/01/2022,617936.351
6,07/01/2022,703004.57
7,08/01/2022,686615.314
8,09/01/2022,657099.904
9,10/01/2022,756621.212
10,11/01/2022,771711.078
11,12/01/2022,777310.213
12,13/01/2022,788572.283
13,14/01/2022,796150.956
14,15/01/2022,717164.143
15,16/01/2022,672381.068
16,17/01/2022,790794.183
17,18/01/2022,809453.033
18,19/01/2022,813885.767
19,20/01/2022,813841.104
20,21/01/2022,812933.383
21,22/01/2022,728531.886
22,23/01/2022,681487.178
23,24/01/2022,800222.601
24,25/01/2022,803957.158
25,26/01/2022,800205.701
26,27/01/2022,794878.473
27,28/01/2022,786143.822
28,29/01/2022,698969.016
29,30/01/2022,648503.898
30,31/01/2022,761832.783
31,01/02/2022,774260.763
32,02/02/2022,762494.554
33,03/02/2022,760780.897
34,04/02/2022,756896.641
35,05/02/2022,682674.839
36,06/02/2022,635247.08
37,07/02/2022,746724.421
38,08/02/2022,756678.724
39,09/02/2022,755748.252
40,10/02/2022,762082.393
41,11/02/2022,754633.793
42,12/02/2022,679947.691
43,13/02/2022,635776.528
44,14/02/2022,741719.03
45,15/02/2022,759124.039
46,16/02/2022,758265.98
47,17/02/2022,744050.02
48,18/02/2022,735427.048
49,19/02/2022,677992.558
50,20/02/2022,628491.111
51,21/02/2022,726597.17
52,22/02/2022,734120.281
53,23/02/2022,732237.567
54,24/02/2022,736907.737
55,25/02/2022,742820.885
56,26/02/2022,670693.047
57,27/02/2022,618013.898
58,28/02/2022,697748.424
59,01/03/2022,722629.686
60,02/03/2022,735689.298
61,03/03/2022,742779.369
62,04/03/2022,743386.909
63,05/03/2022,660787.324
64,06/03/2022,620251.472
65,07/03/2022,732493.133
66,08/03/2022,735113.962
67,09/03/2022,726757.341
68,10/03/2022,722215.252
69,11/03/2022,731329.705
70,12/03/2022,642182.296
71,13/03/2022,593322.595
72,14/03/2022,726364.443
73,15/03/2022,727251.646
74,16/03/2022,728889.512
75,17/03/2022,726425.305
76,18/03/2022,704833.012
77,19/03/2022,624061.488
78,20/03/2022,591749.465
79,21/03/2022,698550.305
80,22/03/2022,717641.0
81,23/03/2022,719548.211
82,24/03/2022,725071.963
83,25/03/2022,706766.452
84,26/03/2022,631663.488
85,27/03/2022,554056.158
86,28/03/2022,677673.545
87,29/03/2022,692972.303
88,30/03/2022,707690.926
89,31/03/2022,705601.198
90,01/04/2022,710892.602
91,02/04/2022,645549.332
92,03/04/2022,613758.289
93,04/04/2022,744100.153
94,05/04/2022,762729.139
95,06/04/2022,744533.256
96,07/04/2022,722876.934
97,08/04/2022,707077.849
98,09/04/2022,621527.143
99,10/04/2022,574809.756
100,11/04/2022,667783.117
101,12/04/2022,687251.619
102,13/04/2022,685363.179
103,14/04/2022,585210.51
104,15/04/2022,536448.535
105,16/04/2022,551086.712
106,17/04/2022,527257.849
107,18/04/2022,580335.76
108,19/04/2022,657825.815
109,20/04/2022,698469.112
110,21/04/2022,697710.847
111,22/04/2022,695637.89
112,23/04/2022,628779.932
113,24/04/2022,571994.039
114,25/04/2022,654714.455
115,26/04/2022,677540.715
116,27/04/2022,687613.611
117,28/04/2022,688510.063
118,29/04/2022,669022.367
119,30/04/2022,592600.643
120,01/05/2022,528390.929
121,02/05/2022,614138.744
122,03/05/2022,677392.499
123,04/05/2022,687315.435
124,05/05/2022,680762.673
125,06/05/2022,668597.638
126,07/05/2022,596496.276
127,08/05/2022,550457.934
128,09/05/2022,650598.557
129,10/05/2022,673774.152
130,11/05/2022,678560.086
131,12/05/2022,683981.303
132,13/05/2022,678906.624
133,14/05/2022,613471.345
134,15/05/2022,565340.711
135,16/05/2022,658606.234
136,17/05/2022,689159.568
137,18/05/2022,701701.58
138,19/05/2022,716668.676
139,20/05/2022,714896.579
140,21/05/2022,645687.218
141,22/05/2022,591016.568
142,23/05/2022,692293.672
143,24/05/2022,699490.143
144,25/05/2022,683203.914
145,26/05/2022,688924.599
146,27/05/2022,691167.658
147,28/05/2022,628739.734
148,29/05/2022,579504.708
149,30/05/2022,672096.948
150,31/05/2022,699889.965
151,01/06/2022,709660.649
152,02/06/2022,714096.111
153,03/06/2022,711460.499
154,04/06/2022,632752.836
155,05/06/2022,583681.514
156,06/06/2022,671690.704
157,07/06/2022,720817.352
158,08/06/2022,734652.173
159,09/06/2022,740426.075
160,10/06/2022,740712.627
161,11/06/2022,678773.887
162,12/06/2022,633281.978
163,13/06/2022,758638.075
164,14/06/2022,798691.052
165,15/06/2022,816499.073
166,16/06/2022,810374.883
167,17/06/2022,807731.237
168,18/06/2022,721874.37
169,19/06/2022,639567.443
170,20/06/2022,746482.216
171,21/06/2022,754336.941
172,22/06/2022,735366.573
173,23/06/2022,712244.518
174,24/06/2022,658105.271
175,25/06/2022,634796.661
176,26/06/2022,597120.111
177,27/06/2022,697550.971
178,28/06/2022,717423.769
179,29/06/2022,727046.257
180,30/06/2022,724490.783
181,01/07/2022,714296.439
182,02/07/2022,664621.873
183,03/07/2022,628386.931
184,04/07/2022,734811.021
185,05/07/2022,766576.117
186,06/07/2022,763815.16
187,07/07/2022,756028.699
188,08/07/2022,760229.022
189,09/07/2022,692390.322
190,10/07/2022,652462.732
191,11/07/2022,781323.554
192,12/07/2022,811270.388
193,13/07/2022,827870.215
194,14/07/2022,836258.259
195,15/07/2022,831856.371
196,16/07/2022,748679.261
197,17/07/2022,698666.051
198,18/07/2022,822023.508
199,19/07/2022,823558.586
200,20/07/2022,823283.426
201,21/07/2022,836727.903
202,22/07/2022,831424.411
203,23/07/2022,735091.226
204,24/07/2022,687821.417
205,25/07/2022,787876.394
206,26/07/2022,824187.447
207,27/07/2022,806232.992
208,28/07/2022,800376.722
209,29/07/2022,793992.235
210,30/07/2022,718385.467
211,31/07/2022,675415.017
212,01/08/2022,782866.189
213,02/08/2022,800030.828
214,03/08/2022,795863.729
215,04/08/2022,789564.733
216,05/08/2022,772886.414
217,06/08/2022,699119.098
218,07/08/2022,647889.366
219,08/08/2022,727811.301
220,09/08/2022,745979.959
221,10/08/2022,754636.552
222,11/08/2022,750843.942
223,12/08/2022,750786.746
224,13/08/2022,698246.392
225,14/08/2022,629884.456
226,15/08/2022,622660.016
227,16/08/2022,680755.938
228,17/08/2022,677139.664
229,18/08/2022,659330.261
230,19/08/2022,661916.618
231,20/08/2022,633699.219
232,21/08/2022,602791.839
233,22/08/2022,703153.961
234,23/08/2022,730634.865
235,24/08/2022,738558.459
236,25/08/2022,736603.211
237,26/08/2022,725562.063
238,27/08/2022,656630.131
239,28/08/2022,615465.721
240,29/08/2022,727200.545
241,30/08/2022,750924.467
242,31/08/2022,740231.753
243,01/09/2022,731641.339
244,02/09/2022,732227.67
245,03/09/2022,642236.01
246,04/09/2022,596575.601
247,05/09/2022,711057.502
248,06/09/2022,727527.085
249,07/09/2022,731678.0
250,08/09/2022,715619.573
251,09/09/2022,721661.277
252,10/09/2022,653804.812
253,11/09/2022,619822.057
254,12/09/2022,743105.948
255,13/09/2022,746416.15
256,14/09/2022,722541.723
257,15/09/2022,713473.613
258,16/09/2022,708799.082
259,17/09/2022,619334.834
260,18/09/2022,574254.188
261,19/09/2022,685476.662
262,20/09/2022,704300.231
263,21/09/2022,700070.02
264,22/09/2022,695597.389
265,23/09/2022,689988.523
266,24/09/2022,602468.746
267,25/09/2022,547492.934
268,26/09/2022,638740.351
269,27/09/2022,659456.712
270,28/09/2022,663780.704
271,29/09/2022,663785.856
272,30/09/2022,649024.388
273,01/10/2022,576530.486
274,02/10/2022,536105.027
275,03/10/2022,644976.653
276,04/10/2022,667812.384
277,05/10/2022,669204.132
278,06/10/2022,675127.531
279,07/10/2022,666351.834
280,08/10/2022,589542.598
281,09/10/2022,540796.45
282,10/10/2022,644622.826
283,11/10/2022,654510.421
284,12/10/2022,557942.649
285,13/10/2022,641378.909
286,14/10/2022,654335.366
287,15/10/2022,579414.681
288,16/10/2022,540243.248
289,17/10/2022,645458.789
290,18/10/2022,666698.644
291,19/10/2022,678778.124
292,20/10/2022,683996.794
293,21/10/2022,672847.573
294,22/10/2022,586790.797
295,23/10/2022,551003.213
296,24/10/2022,646287.207
297,25/10/2022,663966.837
298,26/10/2022,669571.962
299,27/10/2022,664276.72
300,28/10/2022,653085.719
301,29/10/2022,573082.907
302,30/10/2022,547874.045
303,31/10/2022,587498.589
304,01/11/2022,538630.845
305,02/11/2022,634187.151
306,03/11/2022,656532.768
307,04/11/2022,653078.471
308,05/11/2022,571841.348
309,06/11/2022,532238.943
310,07/11/2022,612953.806
311,08/11/2022,666701.201
312,09/11/2022,661163.333
313,10/11/2022,664449.942
314,11/11/2022,664653.882
315,12/11/2022,588358.835
316,13/11/2022,542933.157
317,14/11/2022,652741.12
318,15/11/2022,651544.301
319,16/11/2022,681393.885
320,17/11/2022,679641.411
321,18/11/2022,675636.087
322,19/11/2022,603900.284
323,20/11/2022,560680.142
324,21/11/2022,686937.943
325,22/11/2022,715617.289
326,23/11/2022,701571.613
327,24/11/2022,698309.438
328,25/11/2022,682256.747
329,26/11/2022,614741.775
330,27/11/2022,582620.008
331,28/11/2022,688907.474
332,29/11/2022,712802.199
333,30/11/2022,724740.32
334,01/12/2022,730613.079
335,02/12/2022,731618.823
336,03/12/2022,659861.394
337,04/12/2022,616327.939
338,05/12/2022,707473.451
339,06/12/2022,645078.436
340,07/12/2022,693711.869
341,08/12/2022,632319.537
342,09/12/2022,671091.448
343,10/12/2022,623146.186
344,11/12/2022,606821.364
345,12/12/2022,728180.46
346,13/12/2022,732934.204
347,14/12/2022,717540.301
348,15/12/2022,712548.603
349,16/12/2022,713514.912
350,17/12/2022,629703.175
351,18/12/2022,591386.911
352,19/12/2022,708990.929
353,20/12/2022,724156.043
354,21/12/2022,711189.579
355,22/12/2022,694814.032
356,23/12/2022,657996.045
357,24/12/2022,562091.314
358,25/12/2022,489067.621
359,26/12/2022,532343.828
360,27/12/2022,612141.492
361,28/12/2022,629989.307
362,29/12/2022,637184.984
363,30/12/2022,624064.594
364,31/12/2022,559754.852
365,01/01/2023,501833.701
366,02/01/2023,617718.194
367,03/01/2023,672722.853
368,04/01/2023,684806.731
369,05/01/2023,667109.305
370,06/01/2023,575311.204
371,07/01/2023,620535.693
372,08/01/2023,608145.575
373,09/01/2023,697063.435
374,10/01/2023,726472.416
375,11/01/2023,734639.472
376,12/01/2023,738345.461
377,13/01/2023,733478.186
378,14/01/2023,657961.407
379,15/01/2023,611148.341
380,16/01/2023,750249.738
381,17/01/2023,753955.969
382,18/01/2023,775893.775
383,19/01/2023,785127.303
384,20/01/2023,753339.2
385,21/01/2023,672429.444
386,22/01/2023,644921.153
387,23/01/2023,781546.18
388,24/01/2023,821055.295
389,25/01/2023,810969.945
390,26/01/2023,812716.023
391,27/01/2023,801794.112
392,28/01/2023,714180.153
393,29/01/2023,671427.042
394,30/01/2023,790823.822
395,31/01/2023,798927.897
396,01/02/2023,796985.877
397,02/02/2023,786555.539
398,03/02/2023,771589.405
399,04/02/2023,679736.427
400,05/02/2023,633752.261
401,06/02/2023,770138.891
402,07/02/2023,803175.498
403,08/02/2023,800557.948
404,09/02/2023,790718.284
405,10/02/2023,787189.172
406,11/02/2023,691843.454
407,12/02/2023,644170.591
408,13/02/2023,759156.997
409,14/02/2023,771915.414
410,15/02/2023,760879.865
411,16/02/2023,751511.47
412,17/02/2023,741302.778
413,18/02/2023,652586.519
414,19/02/2023,600002.109
415,20/02/2023,689970.408
416,21/02/2023,714353.697
417,22/02/2023,718948.144
418,23/02/2023,739992.88
419,24/02/2023,736165.914
420,25/02/2023,665816.647
421,26/02/2023,627994.366
422,27/02/2023,763653.175
423,28/02/2023,769482.641
424,01/03/2023,785988.638
425,02/03/2023,791747.223
426,03/03/2023,768459.758
427,04/03/2023,669998.177
428,05/03/2023,632096.855
429,06/03/2023,735491.949
430,07/03/2023,731287.221
431,08/03/2023,721317.296
432,09/03/2023,711696.171
433,10/03/2023,685018.769
434,11/03/2023,604131.58
435,12/03/2023,553321.833
436,13/03/2023,654554.157
437,14/03/2023,665372.032
438,15/03/2023,665919.663
439,16/03/2023,667233.238
440,17/03/2023,665191.753
441,18/03/2023,598689.344
442,19/03/2023,547796.66
443,20/03/2023,637654.592
444,21/03/2023,663603.405
445,22/03/2023,660893.529
446,23/03/2023,660357.63
447,24/03/2023,660305.137
448,25/03/2023,591480.24
449,26/03/2023,521928.506
450,27/03/2023,638323.697
451,28/03/2023,650466.639
452,29/03/2023,652092.022
453,30/03/2023,655416.896
454,31/03/2023,654643.434
455,01/04/2023,587352.17
456,02/04/2023,544659.215
457,03/04/2023,634620.958
458,04/04/2023,646996.244
459,05/04/2023,635213.889
460,06/04/2023,560439.889
461,07/04/2023,514378.457
462,08/04/2023,527243.153
463,09/04/2023,504947.371
464,10/04/2023,558620.039
465,11/04/2023,627232.444
466,12/04/2023,654982.38
467,13/04/2023,653598.477
468,14/04/2023,658626.556
469,15/04/2023,587911.241
470,16/04/2023,542852.619
471,17/04/2023,629595.237
472,18/04/2023,650028.876
473,19/04/2023,651086.845
474,20/04/2023,652498.885
475,21/04/2023,646726.279
476,22/04/2023,585529.064
477,23/04/2023,539524.169
478,24/04/2023,628950.229
479,25/04/2023,654463.894
480,26/04/2023,657993.218
481,27/04/2023,662815.213
482,28/04/2023,657347.095
483,29/04/2023,587507.495
484,30/04/2023,538003.918
485,01/05/2023,520119.805
486,02/05/2023,618490.306
487,03/05/2023,656374.502
488,04/05/2023,661126.608
489,05/05/2023,655654.757
490,06/05/2023,586672.291
491,07/05/2023,544970.07
492,08/05/2023,638716.881
493,09/05/2023,663749.537
494,10/05/2023,659546.575
495,11/05/2023,653332.605
496,12/05/2023,652200.295
497,13/05/2023,581658.688
498,14/05/2023,538726.2
499,15/05/2023,627753.068
500,16/05/2023,646526.02
501,17/05/2023,637961.61
502,18/05/2023,646168.733
503,19/05/2023,641977.654
504,20/05/2023,571935.832
505,21/05/2023,531509.95
506,22/05/2023,635304.205
507,23/05/2023,649903.359
508,24/05/2023,645019.385
509,25/05/2023,647258.436
510,26/05/2023,633895.036
511,27/05/2023,562833.033
512,28/05/2023,517401.305
513,29/05/2023,617970.408
514,30/05/2023,635350.148
515,31/05/2023,636858.289
516,01/06/2023,646212.215
517,02/06/2023,638782.862
518,03/06/2023,567852.915
519,04/06/2023,526169.32
520,05/06/2023,628570.058
521,06/06/2023,657050.252
522,07/06/2023,671369.926
